    INFO: 2021-10-22 23:33:48,140:               log.py:   20: Logging to /home/zdimon/Desktop/students/student-board/sb/mdpdf.log
   DEBUG: 2021-10-22 23:33:48,173:      pdf_renderer.py:  470: printSegment: 3.2. Персональные данные, разрешённые к обработке в рамках настоящей Политики конфиденциальности, предоставляются Пользователем путём заполнения регистрационной формы на сайте в разделе
   DEBUG: 2021-10-22 23:33:48,173:      pdf_renderer.py:  470: printSegment: контактов и формах регистрации и включают в себя следующую информацию:
   DEBUG: 2021-10-22 23:33:48,174:      pdf_renderer.py:  470: printSegment: 3.2.1. Фамилия, имя Пользователя;
   DEBUG: 2021-10-22 23:33:48,174:      pdf_renderer.py:  470: printSegment: 3.2.2. контактный телефон Пользователя;
   DEBUG: 2021-10-22 23:33:48,174:      pdf_renderer.py:  470: printSegment: 3.2.3. адрес электронной почты (e-mail);
   DEBUG: 2021-10-22 23:33:48,174:      pdf_renderer.py:  470: printSegment: 3.3. Также на сайте происходит сбор и обработка обезличенных данных о посетителях (в т.ч. файлов «cookie») с помощью сервисов интернет-статистики (Яндекс.Метрика и Google
   DEBUG: 2021-10-22 23:33:48,175:      pdf_renderer.py:  470: printSegment: Analytics и др.), если это разрешено в настройках браузера Пользователя (включено сохранение файлов «cookie» и/или использование технологии JavaScript).
   DEBUG: 2021-10-22 23:33:48,175:      pdf_renderer.py:  470: printSegment: 4. ЦЕЛИ СБОРА ПЕРСОНАЛЬНОЙ ИНФОРМАЦИИ ПОЛЬЗОВАТЕЛЯ
   DEBUG: 2021-10-22 23:33:48,175:      pdf_renderer.py:  470: printSegment: 4.1. Персональные данные Пользователя Администрация сайта может использовать в целях:
   DEBUG: 2021-10-22 23:33:48,176:      pdf_renderer.py:  470: printSegment: 4.1.1. Идентификации Пользователя, зарегистрированного на сайте, для заключения Договора на обучение на курсе дистанционным способом.
   DEBUG: 2021-10-22 23:33:48,176:      pdf_renderer.py:  470: printSegment: 4.1.2. Предоставления Пользователю доступа к образовательным ресурсам курса.
   DEBUG: 2021-10-22 23:33:48,176:      pdf_renderer.py:  470: printSegment: 4.1.3. Установления с Пользователем обратной связи, включая направление уведомлений, запросов, касающихся обучения на курсе и участия в открытых мероприятиях, оказания услуг, обработки
   DEBUG: 2021-10-22 23:33:48,176:      pdf_renderer.py:  470: printSegment: запросов и заявок от Пользователя.
   DEBUG: 2021-10-22 23:33:48,177:      pdf_renderer.py:  470: printSegment: 4.1.4. Подтверждения достоверности и полноты персональных данных, предоставленных Пользователем.
   DEBUG: 2021-10-22 23:33:48,177:      pdf_renderer.py:  470: printSegment: 4.1.5. Предоставления Пользователю эффективной клиентской и технической поддержки при возникновении проблем связанных с обучением на курсе.
   DEBUG: 2021-10-22 23:33:48,178:      pdf_renderer.py:  470: printSegment: 4.1.6. Предоставления Пользователю с его согласия специальных предложений, информации о ценах, новостной рассылки и иных сведений об обучении на курсе. Пользователь всегда может
   DEBUG: 2021-10-22 23:33:48,178:      pdf_renderer.py:  470: printSegment: отказаться от получения информационных сообщений, направив Администрации сайта письмо на адрес электронной почты education@3dmaya.com.ua с пометкой «Отказ от
   DEBUG: 2021-10-22 23:33:48,178:      pdf_renderer.py:  470: printSegment: уведомлений о новых продуктах и услугах и специальных предложениях».
   DEBUG: 2021-10-22 23:33:48,179:      pdf_renderer.py:  470: printSegment: 4.1.7. Обезличенные данные Пользователей, собираемые с помощью сервисов интернет-статистики, служат для сбора информации о действиях Пользователей на сайте, улучшения качества сайта и
   DEBUG: 2021-10-22 23:33:48,179:      pdf_renderer.py:  470: printSegment: его содержания.
   DEBUG: 2021-10-22 23:33:48,179:      pdf_renderer.py:  470: printSegment: 5. СПОСОБЫ И СРОКИ ОБРАБОТКИ ПЕРСОНАЛЬНОЙ ИНФОРМАЦИИ
   DEBUG: 2021-10-22 23:33:48,180:      pdf_renderer.py:  470: printSegment: 5.1. Обработка персональных данных Пользователя осуществляется без ограничения срока, любым законным способом на территории Украины, в том числе в информационных системах персональных
   DEBUG: 2021-10-22 23:33:48,180:      pdf_renderer.py:  470: printSegment: данных с использованием средств автоматизации или без использования таких средств.
   DEBUG: 2021-10-22 23:33:48,181:      pdf_renderer.py:  470: printSegment: 5.2. Администрация сайта принимает необходимые организационные и технические меры для защиты персональной информации Пользователя от неправомерного или случайного доступа, уничтожения,
   DEBUG: 2021-10-22 23:33:48,181:      pdf_renderer.py:  470: printSegment: изменения, блокирования, копирования, распространения, а также от иных неправомерных действий третьих лиц.
   DEBUG: 2021-10-22 23:33:48,182:      pdf_renderer.py:  470: printSegment: 5.3. Персональные данные Пользователя могут быть переданы третьим лицам только в случае исполнения действующего законодательства по запросу органов государственной власти, по основаниям
   DEBUG: 2021-10-22 23:33:48,182:      pdf_renderer.py:  470: printSegment: и в порядке, установленным законодательством Украины.
   DEBUG: 2021-10-22 23:33:48,183:      pdf_renderer.py:  470: printSegment: 5.3. При утрате или разглашении персональных данных Администрация сайта информирует Пользователя об утрате или разглашении персональных данных, а также принимает все возможные меры по
   DEBUG: 2021-10-22 23:33:48,183:      pdf_renderer.py:  470: printSegment: предотвращению последствий, вызванных утратой или разглашением персональных данных Пользователя.
   DEBUG: 2021-10-22 23:33:48,184:      pdf_renderer.py:  470: printSegment: 6. ОБЯЗАТЕЛЬСТВА СТОРОН
   DEBUG: 2021-10-22 23:33:48,184:      pdf_renderer.py:  470: printSegment: 6.1. Пользователь обязан:
   DEBUG: 2021-10-22 23:33:48,184:      pdf_renderer.py:  470: printSegment: 6.1.1. Предоставить информацию о персональных данных, необходимую для осуществления контакта по вопросам обучения на курсе.
   DEBUG: 2021-10-22 23:33:48,184:      pdf_renderer.py:  470: printSegment: 6.1.2. Обновить, дополнить предоставленную информацию о персональных данных в случае изменения данной информации.
   DEBUG: 2021-10-22 23:33:48,185:      pdf_renderer.py:  470: printSegment: 6.2. Администрация сайта обязана:
   DEBUG: 2021-10-22 23:33:48,185:      pdf_renderer.py:  470: printSegment: 6.2.1. Использовать полученную информацию исключительно для целей, указанных в п. 4 настоящей Политики конфиденциальности.
   DEBUG: 2021-10-22 23:33:48,185:      pdf_renderer.py:  470: printSegment: 6.2.2. Обеспечить хранение конфиденциальной информации в тайне, не разглашать без предварительного разрешения Пользователя, а также не осуществлять продажу, обмен, опубликование, либо
   DEBUG: 2021-10-22 23:33:48,186:      pdf_renderer.py:  470: printSegment: разглашение иными возможными способами переданных персональных данных Пользователя, за исключением п.п. 5.3. настоящей Политики Конфиденциальности.
   DEBUG: 2021-10-22 23:33:48,186:      pdf_renderer.py:  470: printSegment: 6.2.3. Принимать меры предосторожности для защиты конфиденциальности персональных данных Пользователя согласно порядку, обычно используемого для защиты такого рода информации в
   DEBUG: 2021-10-22 23:33:48,187:      pdf_renderer.py:  470: printSegment: существующем деловом обороте.
   DEBUG: 2021-10-22 23:33:48,187:      pdf_renderer.py:  470: printSegment: 6.2.4. Осуществить блокирование персональных данных, относящихся к соответствующему Пользователю, с момента обращения или запроса Пользователя или его законного представителя либо
   DEBUG: 2021-10-22 23:33:48,188:      pdf_renderer.py:  470: printSegment: уполномоченного органа по защите прав субъектов персональных данных на период проверки, в случае выявления недостоверных персональных данных или неправомерных действий.
   DEBUG: 2021-10-22 23:33:48,188:      pdf_renderer.py:  470: printSegment: 7. ОТВЕТСТВЕННОСТЬ СТОРОН
   DEBUG: 2021-10-22 23:33:48,189:      pdf_renderer.py:  470: printSegment: 7.1. Администрация сайта, не исполнившая свои обязательства, несёт ответственность за убытки, понесенные Пользователем в связи с неправомерным использованием персональных данных, в
   DEBUG: 2021-10-22 23:33:48,190:      pdf_renderer.py:  470: printSegment: соответствии с законодательством Украины, за исключением случаев, предусмотренных п.п. 5.2. и 7.2. настоящей Политики Конфиденциальности.
   DEBUG: 2021-10-22 23:33:48,190:      pdf_renderer.py:  470: printSegment: 7.2. В случае утраты или разглашения Конфиденциальной информации Администрация сайта не несёт ответственность, если данная конфиденциальная информация:
   DEBUG: 2021-10-22 23:33:48,190:      pdf_renderer.py:  470: printSegment: 7.2.1. Стала публичным достоянием до её утраты или разглашения.
   DEBUG: 2021-10-22 23:33:48,191:      pdf_renderer.py:  470: printSegment: 7.2.2. Была получена от третьей стороны до момента её получения Администрацией сайта.
   DEBUG: 2021-10-22 23:33:48,191:      pdf_renderer.py:  470: printSegment: 7.2.3. Была разглашена с согласия Пользователя.
   DEBUG: 2021-10-22 23:33:48,192:      pdf_renderer.py:  470: printSegment: 8. РАЗРЕШЕНИЕ СПОРОВ
   DEBUG: 2021-10-22 23:33:48,192:      pdf_renderer.py:  470: printSegment: 8.1. До обращения в суд с иском по спорам, возникающим из отношений между Пользователем сайта и Администрацией сайта, обязательным является предъявление претензии (письменного
   DEBUG: 2021-10-22 23:33:48,193:      pdf_renderer.py:  470: printSegment: предложения о добровольном урегулировании спора).
   DEBUG: 2021-10-22 23:33:48,193:      pdf_renderer.py:  470: printSegment: 8.2. Получатель претензии в течение 30 календарных дней со дня получения претензии, письменно уведомляет заявителя претензии о результатах рассмотрения претензии.
   DEBUG: 2021-10-22 23:33:48,194:      pdf_renderer.py:  470: printSegment: 8.3. При недостижении соглашения спор будет передан на рассмотрение в судебный орган в соответствии с действующим законодательством Украины.
   DEBUG: 2021-10-22 23:33:48,194:      pdf_renderer.py:  470: printSegment: 8.4. К настоящей Политике конфиденциальности и отношениям между Пользователем и Администрацией сайта применяется действующее законодательство Украины.
   DEBUG: 2021-10-22 23:33:48,195:      pdf_renderer.py:  470: printSegment: 9. ДОПОЛНИТЕЛЬНЫЕ УСЛОВИЯ
   DEBUG: 2021-10-22 23:33:48,196:      pdf_renderer.py:  470: printSegment: 9.1. Администрация сайта вправе вносить изменения в настоящую Политику конфиденциальности без согласия Пользователя.
   DEBUG: 2021-10-22 23:33:48,196:      pdf_renderer.py:  470: printSegment: 9.2. Новая Политика конфиденциальности вступает в силу с момента ее размещения на Сайте, если иное не предусмотрено новой редакцией Политики конфиденциальности.
   DEBUG: 2021-10-22 23:33:48,196:      pdf_renderer.py:  470: printSegment: 9.3. Все предложения или вопросы по настоящей Политике конфиденциальности следует сообщать в раздел Контакты.
   DEBUG: 2021-10-22 23:33:48,197:      pdf_renderer.py:   53: 0, [1, 'ПОЛИТИКА КОНФИДЕНЦИАЛЬНОСТИ', 1, 68.0]
   DEBUG: 2021-10-22 23:33:48,197:      pdf_renderer.py:   53: 1, [2, '1. ОПРЕДЕЛЕНИЕ ТЕРМИНОВ', 1, 106.0]
   DEBUG: 2021-10-22 23:33:48,197:      pdf_renderer.py:   53: 2, [2, '2. ОБЩИЕ ПОЛОЖЕНИЯ', 1, 313.6]
   DEBUG: 2021-10-22 23:33:48,197:      pdf_renderer.py:   53: 3, [2, '3. ПРЕДМЕТ ПОЛИТИКИ КОНФИДЕНЦИАЛЬНОСТИ', 1, 431.20000000000005]
   DEBUG: 2021-10-22 23:33:48,197:      pdf_renderer.py:   53: 4, [2, '4. ЦЕЛИ СБОРА ПЕРСОНАЛЬНОЙ ИНФОРМАЦИИ ПОЛЬЗОВАТЕЛЯ', 1, 608.8]
   DEBUG: 2021-10-22 23:33:48,197:      pdf_renderer.py:   53: 5, [2, '5. СПОСОБЫ И СРОКИ ОБРАБОТКИ ПЕРСОНАЛЬНОЙ ИНФОРМАЦИИ', 2, 194.8]
   DEBUG: 2021-10-22 23:33:48,197:      pdf_renderer.py:   53: 6, [2, '6. ОБЯЗАТЕЛЬСТВА СТОРОН', 2, 348.40000000000003]
   DEBUG: 2021-10-22 23:33:48,197:      pdf_renderer.py:   53: 7, [2, '7. ОТВЕТСТВЕННОСТЬ СТОРОН', 2, 562.0]
   DEBUG: 2021-10-22 23:33:48,197:      pdf_renderer.py:   53: 8, [2, '8. РАЗРЕШЕНИЕ СПОРОВ', 2, 697.5999999999999]
   DEBUG: 2021-10-22 23:33:48,197:      pdf_renderer.py:   53: 9, [2, '9. ДОПОЛНИТЕЛЬНЫЕ УСЛОВИЯ', 3, 170.8]
